STN Code,lat,lon
1790,13.69533305,80.05929292562215
2353,17.60320265,83.00084455498865
2205,26.4073841,93.2551303
2206,26.4073841,93.2551303
2557,25.5125411,86.08833919362361
2571,25.6440845,85.906508
2046,30.74197755,76.81767472201017
1549,15.3004543,74.0855134
2269,15.5765136,73.9410291
3175,15.3004543,74.0855134
3176,15.3004543,74.0855134
3177,15.3004543,74.0855134
3178,15.3004543,74.0855134
3179,15.3004543,74.0855134
3180,15.2890843,74.01932923877243
1343,22.3850051,71.745261
1344,22.3850051,71.745261
1345,22.2973142,73.1942567
1346,22.3850051,71.745261
1972,22.3850051,71.745261
1973,22.3850051,71.745261
1975,22.4732415,70.0552102
1976,22.3850051,71.745261
1977,22.3850051,71.745261
1978,22.3850051,71.745261
2075,23.9853888,72.9135468
2076,22.3850051,71.745261
2077,22.3850051,71.745261
2078,22.3850051,71.745261
3200,22.3850051,71.745261
3201,22.72670285,72.43542706979838
3202,22.3850051,71.745261
1291,30.90351215,74.9441870511005
1292,30.90351215,74.9441870511005
1429,30.609078,77.46155437163742
2649,31.9292352,77.1828462
2650,31.9292352,77.1828462
1388,14.5203896,75.7223521
1446,14.5203896,75.7223521
3582,13.04720245,77.5867146856506
3583,12.30872155,76.63734513324133
3584,14.5203896,75.7223521
3585,14.5203896,75.7223521
3611,14.5203896,75.7223521
1383,10.3528744,76.5120396
1385,10.3528744,76.5120396
1441,10.3528744,76.5120396
1574,8.8098891,76.6715303
1575,10.3528744,76.5120396
1576,9.5804995,77.181142
1577,10.2269615,76.19840495
1578,9.1723603,76.500061
1579,9.5006651,76.41241428564258
1580,10.3528744,76.5120396
2312,10.3528744,76.5120396
2318,10.3528744,76.5120396
2328,10.3528744,76.5120396
2329,10.3528744,76.5120396
2330,10.3528744,76.5120396
3470,8.4882267,76.947551
1373,19.12195775,72.90929420210506
1374,23.8143419,77.5340719
1466,23.8143419,77.5340719
2128,23.8143419,77.5340719
2129,23.8143419,77.5340719
2131,23.8143419,77.5340719
2132,23.8143419,77.5340719
2133,23.8143419,77.5340719
2134,23.8143419,77.5340719
2135,23.8143419,77.5340719
2136,23.2584857,77.401989
2137,23.8143419,77.5340719
