(13.69533305, 80.05929292562215)
(17.60320265, 83.00084455498865)
(26.4073841, 93.2551303)
(26.4073841, 93.2551303)
(25.5125411, 86.08833919362361)
(25.6440845, 85.906508)
(30.74197755, 76.81767472201017)
(15.3004543, 74.0855134)
(15.5765136, 73.9410291)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.289084299999999, 74.01932923877243)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.2973142, 73.1942567)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.4732415, 70.0552102)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(23.9853888, 72.9135468)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.726702850000002, 72.43542706979838)
(22.3850051, 71.745261)
(30.903512149999997, 74.9441870511005)
(30.903512149999997, 74.9441870511005)
(30.609078, 77.46155437163742)
(31.9292352, 77.1828462)
(31.9292352, 77.1828462)
(14.5203896, 75.7223521)
(14.5203896, 75.7223521)
(13.04720245, 77.5867146856506)
(12.308721550000001, 76.63734513324133)
(14.5203896, 75.7223521)
(14.5203896, 75.7223521)
(14.5203896, 75.7223521)
(10.3528744, 76.5120396)
(10.3528744, 76.5120396)
(10.3528744, 76.5120396)
(8.8098891, 76.6715303)
(10.3528744, 76.5120396)
(9.5804995, 77.181142)
(10.2269615, 76.19840495)
(9.1723603, 76.500061)
(9.5006651, 76.41241428564258)
(10.3528744, 76.5120396)
(10.3528744, 76.5120396)
(10.3528744, 76.5120396)
(10.3528744, 76.5120396)
(10.3528744, 76.5120396)
(10.3528744, 76.5120396)
(8.4882267, 76.947551)
(19.12195775, 72.90929420210506)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.2584857, 77.401989)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(23.2664845, 77.4130845)
(23.8143419, 77.5340719)
(23.8143419, 77.5340719)
(25.5379432, 91.2999102)
(25.5379432, 91.2999102)
(25.5379432, 91.2999102)
(25.87640255, 91.85675741641606)
(25.87640255, 91.85675741641606)
(25.87640255, 91.85675741641606)
(25.61849455, 90.63421621777749)
(20.5431241, 84.6897321)
(20.457494099999998, 85.6048965413869)
(20.5431241, 84.6897321)
(20.5431241, 84.6897321)
(20.5431241, 84.6897321)
(20.5431241, 84.6897321)
(20.5431241, 84.6897321)
(10.91564885, 79.80694879844232)
(11.8245095, 79.73715777860332)
(30.9293211, 75.5004841)
(30.9293211, 75.5004841)
(30.9293211, 75.5004841)
(26.8105777, 73.7684549)
(26.8105777, 73.7684549)
(26.487553300000002, 74.55404662867572)
(26.8105777, 73.7684549)
(26.8105777, 73.7684549)
(24.595304900000002, 72.70390264699941)
(25.4367659, 75.736147085863)
(27.414004849999998, 76.61703869600933)
(27.414004849999998, 76.61703869600933)
(25.07747625, 73.88626319669183)
(25.07747625, 73.88626319669183)
(23.8538893, 73.7087177)
(24.13770075, 74.04723864534469)
(24.13770075, 74.04723864534469)
(23.49150465, 74.35021720129201)
(26.9464166, 75.8481731)
(10.9094334, 78.3665347)
(10.9094334, 78.3665347)
(11.7832744, 78.21046871339286)
(10.9094334, 78.3665347)
(10.9094334, 78.3665347)
(10.9094334, 78.3665347)
(10.9094334, 78.3665347)
(10.9094334, 78.3665347)
(17.42291125, 78.47542103126167)
(17.4755464, 78.3029526)
(17.4755464, 78.3029526)
(16.9344152, 77.7788338)
(16.9344152, 77.7788338)
(16.9344152, 77.7788338)
(18.23337235, 79.9393490664614)
(17.7385691, 79.130207)
(17.5258589, 78.46905021499732)
(17.360589, 78.4740613)
(17.46338775, 78.53627735570706)
(17.47582539878519, 78.48473706511365)
(17.410768, 78.44854448849662)
(23.7750823, 91.7025091)
(23.4995742, 91.31765830218897)
(23.8253158, 91.9732226716333)
(27.0487062, 76.05148839669879)
(26.20867685, 81.21862977045768)
(22.5726459, 88.3638953)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(22.9964948, 87.6855882)
(13.69533305, 80.05929292562215)
(8.48363586608005, 76.93811153499678)
(26.4073841, 93.2551303)
(26.4073841, 93.2551303)
(25.6440845, 85.906508)
(25.6440845, 85.906508)
(25.662544099999998, 77.90012166111927)
(30.74197755, 76.81767472201017)
(28.6155068, 77.30637568452964)
(15.3004543, 74.0855134)
(15.5765136, 73.9410291)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.3004543, 74.0855134)
(15.289084299999999, 74.01932923877243)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.2973142, 73.1942567)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
(22.4732415, 70.0552102)
(22.3850051, 71.745261)
(22.3850051, 71.745261)
